dataset,platform,split,label,text,context,n_context_turns,text_clean,context_clean,n_chars,n_words,n_sentences,avg_word_len,n_exclam,n_question,n_ellipsis,n_repeat_punct,n_allcaps_words,allcaps_ratio,n_emoji,n_elongation,n_scare_quotes,n_urls,n_mentions,n_hashtags,n_interjections,starts_with_interjection,context_n_words,has_context,en_score,is_english,lang_method
figlang_twitter,twitter,train,1,@USER yes there's that but the only one who knows how is sick,"@USER if you had a fever would the pancakes be bigger ? maybe even giant size ? ( just asking for a friend with a fever ) || @USER she will be so happy to hear it , tho will probably wait until the ability to taste food returns .",2,<USER> yes there's that but the only one who knows how is sick,"<USER> if you had a fever would the pancakes be bigger ? maybe even giant size ? ( just asking for a friend with a fever ) || <USER> she will be so happy to hear it , tho will probably wait until the ability to taste food returns .",64,13,1,3.6923076923076925,0,0,0,0,1,0.07692307692307693,0,0,0,0,0,0,0,False,43,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER @USER Much like Trump , Sen Cruz Tragically born without an bone . _",". @USER : "" Democrats have become radicalized by this last election . "" They've concluded Clinton was too moderate and they need more Bernies . || . @USER predicts Dems will now become "" obstructionists at a level we've never seen . "" They'll "" filibuster absolutely everything they can . """,2,"<USER> <USER> <USER> Much like Trump , Sen Cruz Tragically born without an bone . _",". <USER> : "" Democrats have become radicalized by this last election . "" They've concluded Clinton was too moderate and they need more Bernies . || . <USER> predicts Dems will now become "" obstructionists at a level we've never seen . "" They'll "" filibuster absolutely everything they can . """,89,13,1,4.538461538461538,0,0,0,0,3,0.23076923076923078,0,0,0,0,0,0,0,False,39,True,0.7846153846153846,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER Hey , but what do they have to lose ? Asking for some black friends .","Matt here . Rarely comment on the president , but having someone who is not Jewish tell Jews what they should or shouldn ’ t think is beyond the pale and it should not go unchallenged . <URL> || @USER It seems there is a long history of non-Jews telling Jews what to think .",2,"<USER> <USER> Hey , but what do they have to lose ? Asking for some black friends .","Matt here . Rarely comment on the president , but having someone who is not Jewish tell Jews what they should or shouldn ' t think is beyond the pale and it should not go unchallenged . <URL> || <USER> It seems there is a long history of non-Jews telling Jews what to think .",87,15,2,3.933333333333333,0,1,0,0,2,0.13333333333333333,0,0,0,0,0,0,0,False,51,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER I love how the Stupid Party frequently accuses liberals of being "" tards "" .",@USER He is old and out of shape ... God willing ... who knows ... || @USER As long as he keeps rubbing #Libtards and #snowflakes the wrong way #MissionAccomplished,2,"<USER> <USER> I love how the Stupid Party frequently accuses liberals of being "" tards "" .",<USER> He is old and out of shape ... God willing ... who knows ... || <USER> As long as he keeps rubbing Libtards and snowflakes the wrong way MissionAccomplished,94,14,1,4.785714285714286,0,0,0,0,2,0.14285714285714285,0,0,1,0,0,0,0,False,26,True,0.8999999999999999,True,heuristic-high
figlang_twitter,twitter,train,1,@USER we've been laughing about that when his friends didn't want gov jobs . Being a billionaire is way more fun than President .,"Some advice for my liberal friends . We'll get through this . #Trump #legal #weed <URL> || @USER haha ! Right about now Trump is thinking , "" what the hell was I thinking . "" #ThanklessJob #BeCarefulWhatYouWishFor",2,<USER> we've been laughing about that when his friends didn't want gov jobs . Being a billionaire is way more fun than President .,"Some advice for my liberal friends . We'll get through this . Trump legal weed <URL> || <USER> haha ! Right about now Trump is thinking , "" what the hell was I thinking . "" ThanklessJob BeCarefulWhatYouWishFor",132,22,2,4.681818181818182,0,0,0,0,1,0.045454545454545456,0,0,0,0,0,0,0,False,30,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"$ FNMA sweep accounting is antiGAAP . Divs in excess of stated rate , accounted for as operating expense ? Its accounted for as stolen $","For the dipshits who think a line is capital . This is $ FNMA balance sheet . It shows equity in and neg equity out … <URL> || The rest of the $ FNMA Equation ; repayments of "" line "" are a P & L expense pushing NI neg and rolling to accum deficit … <URL>",2,"$ FNMA sweep accounting is antiGAAP . Divs in excess of stated rate , accounted for as operating expense ? Its accounted for as stolen $","For the dipshits who think a line is capital . This is $ FNMA balance sheet . It shows equity in and neg equity out ... <URL> || The rest of the $ FNMA Equation ; repayments of "" line "" are a P & L expense pushing NI neg and rolling to accum deficit ... <URL>",136,21,2,5.0476190476190474,0,1,0,0,1,0.047619047619047616,0,0,0,0,0,0,0,False,46,True,0.9833333333333334,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER I remember a few months back we were saying the Americans shouldn't tell us how to vote on brexit,This feels apt this morning but I don't feel fine ... <URL> || @USER it is what's going round in the heads of many I know ...,2,<USER> <USER> I remember a few months back we were saying the Americans shouldn't tell us how to vote on brexit,This feels apt this morning but I don't feel fine ... <URL> || <USER> it is what's going round in the heads of many I know ...,115,21,1,4.142857142857143,0,0,0,0,2,0.09523809523809523,0,0,0,0,0,0,0,False,24,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER Last time I checked , there ’ s no Y in “ Science Fiction ”","Every #NewYearsEve2020 I watch the #TwilightZoneMarathon & it still bothers me that the SciFi channel became SyFy . Y ? My 2021 #NewYearsResolution is to get over this . || @USER This will help : the name change is so that it's easier to search for . "" Sci-Fi "" is generic . "" Syfy "" is specific .",2,"<USER> Last time I checked , there ' s no Y in "" Science Fiction ""","Every NewYearsEve2020 I watch the TwilightZoneMarathon & it still bothers me that the SciFi channel became SyFy . Y ? My 2021 NewYearsResolution is to get over this . || <USER> This will help : the name change is so that it's easier to search for . "" Sci-Fi "" is generic . "" Syfy "" is specific .",68,13,1,3.5384615384615383,0,0,0,0,1,0.07692307692307693,0,0,1,0,0,0,0,False,46,True,0.9865384615384616,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER @USER I mean if I was a Muslim American I'd feel perfectly safe under a Trump presidency .,"@USER @USER @USER Also , he lost the popular vote so don't get too excited GB || @USER @USER @USER i see his popularity rising over next 4 yrs as he gets things done for every citizen",2,<USER> <USER> <USER> I mean if I was a Muslim American I'd feel perfectly safe under a Trump presidency .,"<USER> <USER> <USER> Also , he lost the popular vote so don't get too excited GB || <USER> <USER> <USER> i see his popularity rising over next 4 yrs as he gets things done for every citizen",111,19,1,4.157894736842105,0,0,0,0,3,0.15789473684210525,0,0,0,0,0,0,0,False,34,True,0.9263157894736842,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER Welp , look at what was taken at Game 5 earlier in the series ... #OwnIt #OhhhTheBurn <URL>","Coming off an undefeated three-game road trip , the Warriors return home to take on the Thunder on Thursday » … <URL> || @USER Why did you guys have to go and Curse Cleveland #WorldSeries",2,"<USER> <USER> Welp , look at what was taken at Game 5 earlier in the series ... OwnIt OhhhTheBurn <URL>","Coming off an undefeated three-game road trip , the Warriors return home to take on the Thunder on Thursday » ... <URL> || <USER> Why did you guys have to go and Curse Cleveland WorldSeries",111,17,1,4.294117647058823,0,0,1,1,3,0.17647058823529413,0,1,0,0,0,0,0,False,32,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER now jang / Geo didn't find anything new & Qayyum Siddiqi reporting : SC can't take up tht case , technical grounds etc","Those Blaming Jang / Dawn for not carrying the BBC story doesn't even know that there is nothing new in that story . || @USER @USER top of th ladder were ppl lik Kamran K hosting , u in th news room & Qayyum Siddiqi frm court room 2/3",2,"<USER> now jang / Geo didn't find anything new & Qayyum Siddiqi reporting : SC can't take up tht case , technical grounds etc","Those Blaming Jang / Dawn for not carrying the BBC story doesn't even know that there is nothing new in that story . || <USER> <USER> top of th ladder were ppl lik Kamran K hosting , u in th news room & Qayyum Siddiqi frm court room 2/3",127,20,1,4.8,0,0,0,0,2,0.1,0,0,0,0,0,0,0,False,43,True,0.825,True,heuristic-high
figlang_twitter,twitter,train,1,@USER Nice to see our PM outright lying to the President,"Really uncomfortable moment in Trump-Trudeau meeting as POTUS pressed PMJT for Canada's defending spending figure . Trudeau gave him the cent increase , not GDP . <URL> || Trump persisted , Trudeau asked CDS Vance who gave the true figure , 1.31 per cent of GDP , which Trudeau rounded up to 1.4 .",2,<USER> Nice to see our PM outright lying to the President,"Really uncomfortable moment in Trump-Trudeau meeting as POTUS pressed PMJT for Canada's defending spending figure . Trudeau gave him the cent increase , not GDP . <URL> || Trump persisted , Trudeau asked CDS Vance who gave the true figure , 1.31 per cent of GDP , which Trudeau rounded up to 1.4 .",59,11,1,4.090909090909091,0,0,0,0,2,0.18181818181818182,0,0,0,0,0,0,1,False,45,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER Hopefylly you qualify , proceed , then get collection of any fake glasses you want . but #Winning","In about an hour , I am going to be getting an exam to see if Lasik will work for me . Kinda excited ! || @USER Not the coke-bottle-bottom kind I have to wear , they aren't",2,"<USER> <USER> Hopefylly you qualify , proceed , then get collection of any fake glasses you want . but Winning","In about an hour , I am going to be getting an exam to see if Lasik will work for me . Kinda excited ! || <USER> Not the coke-bottle-bottom kind I have to wear , they aren't",116,17,1,4.9411764705882355,0,0,0,0,2,0.11764705882352941,0,0,0,0,0,0,0,False,35,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER @USER The craziest thing about his tweet is he is calling SOMEONE ELSE OUT for being racist .,@USER @USER oh look - an anonymous white dude who is mad a brown guy won't dance for him . || @USER @USER @USER Hey ! This is a mind reading act in progress . Let the man mind-read . Intersectional Magic,2,<USER> <USER> <USER> The craziest thing about his tweet is he is calling SOMEONE ELSE OUT for being racist .,<USER> <USER> oh look - an anonymous white dude who is mad a brown guy won't dance for him . || <USER> <USER> <USER> Hey ! This is a mind reading act in progress . Let the man mind-read . Intersectional Magic,114,19,1,4.315789473684211,0,0,0,0,6,0.3157894736842105,0,0,0,0,0,0,0,False,37,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER To answer your rather stupid question , no I do not enjoy harassing women at all _ <URL>",Help us map street harassment around the world with the #100Women #MappingHarassment project Find out how : … <URL> || @USER Can't you just report the news like you are paid to do instead of pushing crappy feminist agendas . #justathought,2,"<USER> <USER> To answer your rather stupid question , no I do not enjoy harassing women at all _ <URL>",Help us map street harassment around the world with the 100Women MappingHarassment project Find out how : ... <URL> || <USER> Can't you just report the news like you are paid to do instead of pushing crappy feminist agendas . justathought,106,18,1,4.166666666666667,0,0,0,0,3,0.16666666666666666,0,0,0,0,0,0,0,False,37,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER Sounds good to me . I mean that's the same standard they you when shooting black kids in America why so why not use if when assassinating foreign leaders ?,"Defense Sec Esper makes clear this a . m . there was specific intel about an attack on the embassy in Baghdad , but not necessarily three others . "" The president never said there was specific intelligence to 4 different embassies , "" Esper says . It was a belief , "" and I believed it too . "" || @USER I also believe it might snow in January in NY . But there is nothing specific . Trump wanted to start a war to deflect from impeachment and his other crimes coming to light . Wake up . #TrumpsWarOfMassDistraction",2,<USER> <USER> Sounds good to me . I mean that's the same standard they you when shooting black kids in America why so why not use if when assassinating foreign leaders ?,"Defense Sec Esper makes clear this a . m . there was specific intel about an attack on the embassy in Baghdad , but not necessarily three others . "" The president never said there was specific intelligence to 4 different embassies , "" Esper says . It was a belief , "" and I believed it too . "" || <USER> I also believe it might snow in January in NY . But there is nothing specific . Trump wanted to start a war to deflect from impeachment and his other crimes coming to light . Wake up . TrumpsWarOfMassDistraction",173,30,2,4.4,0,1,0,0,2,0.06666666666666667,0,0,0,0,0,0,0,False,83,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER @USER Not enough . Dnt blame me blame electoral college . Libs going to cry that it's rigged ? Tables have turned .,"Trump protest organizer : "" Right now the protests are about solidarity "" <URL> || @USER @USER Bunch of 3 - yr olds throwing a temper tantrum . If Killary had this many at the polls the outcome may have been different .",2,<USER> <USER> <USER> Not enough . Dnt blame me blame electoral college . Libs going to cry that it's rigged ? Tables have turned .,"Trump protest organizer : "" Right now the protests are about solidarity "" <URL> || <USER> <USER> Bunch of 3 - yr olds throwing a temper tantrum . If Killary had this many at the polls the outcome may have been different .",136,21,4,4.571428571428571,0,1,0,0,3,0.14285714285714285,0,0,0,0,0,0,0,False,35,True,0.8583333333333334,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER @USER please , do read your own damn comment . Lmao .",My latest @USER - Obama's weakness invited the Russians to meddle in US elections ( but Dems will never admit it ) . <URL> || @USER @USER @USER why would Putin want the strong Trump over the weak Hillary ? Makes zero sense .,2,"<USER> <USER> <USER> please , do read your own damn comment . Lmao .",My latest <USER> - Obama's weakness invited the Russians to meddle in US elections ( but Dems will never admit it ) . <URL> || <USER> <USER> <USER> why would Putin want the strong Trump over the weak Hillary ? Makes zero sense .,74,11,2,4.181818181818182,0,0,0,0,3,0.2727272727272727,0,0,0,0,0,0,0,False,37,True,0.8090909090909091,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER Your President spends most of the day bashing people .,"Ready to watch #Oscars2017 , or as it's known in some circles , The Donald Trump Piñata Party . Whack that piñata hard , Hollywood . Real hard . || @USER Is this how you spend ur day . Bashing our president . Grow up",2,<USER> <USER> Your President spends most of the day bashing people .,"Ready to watch Oscars2017 , or as it's known in some circles , The Donald Trump Piñata Party . Whack that piñata hard , Hollywood . Real hard . || <USER> Is this how you spend ur day . Bashing our president . Grow up",72,11,1,4.7272727272727275,0,0,0,0,2,0.18181818181818182,0,0,0,0,0,0,0,False,38,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER But in the end there will finally be peace in the Middle East ! / s #wartoendallwars,"My big dumb not-a-foreign-policy person question : if the US killed Soleimani , isn't that a massive act of war ? I feel like if the Revolutionary Guards killed Petraeus in 2007 , we would've been bombing Tehran within hours . || @USER It ’ ll be a free-for-all . Israel , America , the Saudis , the Emiratis , Iran , Turkey , Syria , Hezbollah , and Russia are all running around the region , guns out and no trigger discipline .",2,<USER> <USER> But in the end there will finally be peace in the Middle East ! wartoendallwars,"My big dumb not-a-foreign-policy person question : if the US killed Soleimani , isn't that a massive act of war ? I feel like if the Revolutionary Guards killed Petraeus in 2007 , we would've been bombing Tehran within hours . || <USER> It ' ll be a free-for-all . Israel , America , the Saudis , the Emiratis , Iran , Turkey , Syria , Hezbollah , and Russia are all running around the region , guns out and no trigger discipline .",101,16,1,4.5,1,0,0,0,2,0.125,0,0,0,0,0,0,0,False,71,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER Ofc he is'nt the mayor of Islam doesn  t mean ignore his own , Don't see any status on EID , Ramadan , Muharram @USER","London mayor Sadiq Khan wearing Jewish cap Yamaka with Chicago Mayor , earlier Safiq asked Imran , why he was support … <URL> || @USER He is the mayor of London , not the mayor of Islam ! His role means he must be open in his approach to religions / cultures !",2,"<USER> Ofc he is'nt the mayor of Islam doesn t mean ignore his own , Don't see any status on EID , Ramadan , Muharram <USER>","London mayor Sadiq Khan wearing Jewish cap Yamaka with Chicago Mayor , earlier Safiq asked Imran , why he was support ... <URL> || <USER> He is the mayor of London , not the mayor of Islam ! His role means he must be open in his approach to religions / cultures !",129,23,1,4.0,0,0,0,0,3,0.13043478260869565,0,0,0,0,0,0,0,False,45,True,0.916304347826087,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER alert : Yeah , but doesnt count cuz great PR & #MSM didn't report , right ? @USER #DNCLeaks @USER","We older Americans must pass on 2 young adults our wisdom of true nature of our govt so they can fight it B4 hobbled by debt & responsibility || @USER Wel , 2 b fair dis admin haz bin d worst exampl o stealin from d ppl in my memry",2,"<USER> alert : Yeah , but doesnt count cuz great PR & MSM didn't report , right ? <USER> DNCLeaks <USER>","We older Americans must pass on 2 young adults our wisdom of true nature of our govt so they can fight it B4 hobbled by debt & responsibility || <USER> Wel , 2 b fair dis admin haz bin d worst exampl o stealin from d ppl in my memry",114,16,1,4.5625,0,1,0,0,5,0.3125,0,0,0,0,0,0,3,False,45,True,0.7046875,True,langdetect
figlang_twitter,twitter,train,1,@USER Naw . I was just an attendee . Invited because it was fundraiser . Because I had money .,"I won a gold plated putter in a corporate putting contest . Organizer was livid a woman won . Tried to talk me out of taking it . || He said it was unfair that a "" non-golfer "" was getting it . And that it was a man's prize . Offered to but me "" a mixer or something "" .",2,<USER> Naw . I was just an attendee . Invited because it was fundraiser . Because I had money .,"I won a gold plated putter in a corporate putting contest . Organizer was livid a woman won . Tried to talk me out of taking it . || He said it was unfair that a "" non-golfer "" was getting it . And that it was a man's prize . Offered to but me "" a mixer or something "" .",97,16,4,4.375,0,0,0,0,1,0.0625,0,0,0,0,0,0,0,False,52,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,@USER broken system . Can't do much about it . Sucks that we pay taxes for this . Cant even refuse because then we'll go to jail .,"If you're a cop & this offends you , your problem isn't with me , it's with your co-workers . Straighten them out . <URL> || The courts won't . Your "" leaders "" don't . We ( the people ) can't . So , "" good cops "" wherever you are , it's your move . Straighten your people out .",2,<USER> broken system . Can't do much about it . Sucks that we pay taxes for this . Cant even refuse because then we'll go to jail .,"If you're a cop & this offends you , your problem isn't with me , it's with your co-workers . Straighten them out . <URL> || The courts won't . Your "" leaders "" don't . We ( the people ) can't . So , "" good cops "" wherever you are , it's your move . Straighten your people out .",133,24,4,4.083333333333333,0,0,0,0,1,0.041666666666666664,0,0,0,0,0,0,0,False,44,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,@USER Thank goodness ... Power was back on after 16 hours . 😱 😱 😠 Could have been only in 2020 🤣 🤣,"Will @USER or @USER or WHOEVER ... please make up your minds if you still implementing #loadshedding . You guys will not compensate citizens for damage to perishable food , so let us know , so we can plan . #thisismadness || @USER @USER @USER And my area in Pretoria , , now 8 hours no electricity 😡 😡 😡",2,<USER> Thank goodness ... Power was back on after 16 hours . 😱 😱 😠 Could have been only in 2020 🤣 🤣,"Will <USER> or <USER> or WHOEVER ... please make up your minds if you still implementing loadshedding . You guys will not compensate citizens for damage to perishable food , so let us know , so we can plan . thisismadness || <USER> <USER> <USER> And my area in Pretoria , , now 8 hours no electricity 😡 😡 😡",101,14,2,4.285714285714286,0,0,1,1,1,0.07142857142857142,5,0,0,0,0,0,0,False,48,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER @USER Hysterical that they used Williams as a source 4 this story ! #Liar #HillaryLies,"BREAKING : Comey Mandates All FBI Agents Report to D . C . Offices ; Prep for Raids , Possible Arrests in Clinton Probes … <URL> || @USER I've not found confirmation anywhere else . Do you have other sources ? ? ? 🙃",2,<USER> <USER> <USER> Hysterical that they used Williams as a source 4 this story ! Liar HillaryLies,"BREAKING : Comey Mandates All FBI Agents Report to D . C . Offices ; Prep for Raids , Possible Arrests in Clinton Probes ... <URL> || <USER> I've not found confirmation anywhere else . Do you have other sources ? ? ? 🙃",109,15,1,5.0,1,0,0,0,3,0.2,0,0,0,0,0,0,0,False,32,True,0.9416666666666667,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER Yes , like how "" all of my wedding activities have been ruined by assholes . ""","Has anyone else noticed how @USER slinks off for several days around the airing of #pumprules ? I would too , if I were her ! 😬 || @USER @USER yes I've noticed and she never accepts responsibility , she always blames others",2,"<USER> <USER> Yes , like how "" all of my wedding activities have been ruined by assholes . ""","Has anyone else noticed how <USER> slinks off for several days around the airing of pumprules ? I would too , if I were her ! 😬 || <USER> <USER> yes I've noticed and she never accepts responsibility , she always blames others",96,15,1,4.4,0,0,0,0,2,0.13333333333333333,0,0,0,0,0,0,0,False,37,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER "" Not everyone is born with a silver spoon "" yet you defend those brutalizing the protestors who have little ?","Militarized police continues to brutalize indigenous ppl defending sacred land to protect oil companies . If we don ' … <URL> || @USER Same companies that create thousands of jobs . Not everyone is born with a silver spoon like you , Abby .",2,"<USER> <USER> "" Not everyone is born with a silver spoon "" yet you defend those brutalizing the protestors who have little ?","Militarized police continues to brutalize indigenous ppl defending sacred land to protect oil companies . If we don ' ... <URL> || <USER> Same companies that create thousands of jobs . Not everyone is born with a silver spoon like you , Abby .",128,20,1,4.75,0,1,0,0,2,0.1,0,0,0,0,0,0,0,False,38,True,1.0,True,heuristic-high
